Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs Issued,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon Dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Kestrel Coal Pty Ltd,Kestrel Coal Group Pty Ltd,QLD,Coal mining (060),0.951,"1,035,251 ","1,223,730 ", -   , -   , -   ," 188,479 ", -   ," 1,035,251 ", -   , -   , - ,-," 284,623 "," 937,617 "," 1,471 ", 19 ,-
King of the Hills,GREENSTONE RESOURCES (WA) PTY LTD,WA,Metal ore mining (080),0.951,"176,726 ","136,001 ", -   , -   , -   , -   , -   ," 136,001 ","-40,725 "," 40,725 ", - ,-," 135,543 ", 230 , 228 , -   ,-
Kogan Creek Mine,GOLDING CONTRACTORS PTY LTD,QLD,Coal mining (060),0.951,"100,000 ","100,248 ", -   , -   , -   , 248 , -   ," 100,000 ", -   , -   , - ,-," 20,494 "," 79,693 ", 61 , -   ,-
Koolyanobbing Iron Ore Operations,Yilgarn Iron Pty Ltd,WA,Metal ore mining (080),0.951,"100,000 ","82,036 ", -   , -   , -   , -   , -   ," 82,036 ","-17,964 ", -   , - ,-," 81,681 ", 113 , 242 , -   ,The facility is an eligible facility under 58B.
Kooragang Island,ORICA AUSTRALIA PTY LTD,NSW,Other basic chemical product manufacturing (189),0.951,"913,822 ","483,071 ", -   , -   , -   , -   , -   ," 483,071 ","-430,751 "," 430,751 ", - ,-," 462,058 ", 383 ," 20,630 ", -   ,-
Kwinana Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.99,"824,523 ","915,101 ", -   , -   , -   ," 52,729 "," 37,849 "," 824,523 ", -   , -   , - ,-," 912,711 "," 1,810 ", 572 , 8 ,-
Kwinana Pigment Plant,Tronox Management Pty Ltd,WA,Basic chemical manufacturing (181),0.99,"244,804 ","285,673 ", -   , -   , -   , -   ," 40,869 "," 244,804 ", -   , -   , - ,-," 285,130 ", 409 , 134 , -   ,-
Lake Vermont Mine,THIESS PTY LTD,QLD,Coal mining (060),0.951,"308,609 ","289,068 ", -   , -   , -   , -   , -   ," 289,068 ","-19,541 "," 19,541 ", - ,-," 223,393 "," 65,054 ", 618 , 3 ,-
Leinster Power Station,TEC DESERT PTY LTD,WA,Electricity generation (261),0.951,"128,716 ","132,927 ", -   , -   , -   ," 4,211 ", -   ," 128,716 ", -   , -   , - ,-," 132,577 ", 261 , 87 , 2 ,-
Liberty Bell Bay,Liberty Bell Bay Pty Ltd,TAS,Basic ferrous metal manufacturing (211),0.951,"204,887 ","196,125 ", -   , -   , -   , -   , -   ," 196,125 ","-8,762 "," 8,762 ", - ,-," 196,107 ", 6 , 6 , 6 ,-
Liberty Primary Steel Whyalla Steelworks,ONESTEEL MANUFACTURING PTY LIMITED,SA,Basic ferrous metal manufacturing (211),0.99,"1,026,135 ","1,191,510 ", -   , -   , -   , -   , -   ," 1,191,510 ","165,375 ", -   , - ,-," 1,190,837 ", 414 , 253 , 6 ,Please refer to the excess emissions situation table for more information.
Mandalong Mine,CENTENNIAL MANDALONG PTY LIMITED,NSW,Coal mining (060),0.951,"554,933 ","742,230 ", -   , -   , -   ," 32,254 "," 155,043 "," 554,933 ", -   , -   , - ,-," 24,907 "," 717,233 ", 85 , 5 ,-
Mangoola,MANGOOLA COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.951,"131,234 ","122,216 ", -   , -   , -   , -   , -   ," 122,216 ","-9,018 "," 9,018 ", - ,-," 118,914 "," 2,955 ", 332 , 15 ,-
Marandoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"109,985 ","156,177 ", -   , -   , -   ," 46,192 ", -   ," 109,985 ", -   , -   , - ,-," 155,505 ", 222 , 450 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Maules Creek Open Cut Mine,MAULES CREEK COAL PTY LTD,NSW,Coal mining (060),0.951,"275,001 ","286,028 ", -   , -   , -   ," 11,027 ", -   ," 275,001 ", -   , -   , - ,-," 283,525 "," 1,710 ", 789 , 4 ,-
McArthur River Mine Operations,MCARTHUR RIVER MINING PTY. LTD.,NT,Metal ore mining (080),0.951,"108,064 ","101,914 ", -   , -   , -   ," 5,604 ", -   ," 96,310 ","-11,754 ", -   ," 208,064 ", -   ," 101,478 ", 145 , 291 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
McArthur River Power Station,EDL NGD (NT) Pty Ltd,NT,Electricity generation (261),0.951,"138,562 ","153,074 ", -   , -   , -   ," 14,512 ", -   ," 138,562 ", -   , -   , - ,-," 152,685 ", 297 , 92 , -   ,-
Mesa A Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.951,"100,000 ","60,255 ", -   , -   , -   , -   , -   ," 60,255 ","-39,745 ", -   , - ,-," 59,993 ", 86 , 176 , -   ,The facility is an eligible facility under 58B.
Mesa J / K Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.951,"104,837 ","65,868 ", -   , -   , -   , -   , -   ," 65,868 ","-38,969 ", -   , - ,-," 65,581 ", 94 , 193 , -   ,The facility is an eligible facility under 58B.
Metropolitan Colliery,METROPOLITAN COLLIERIES PTY. LTD.,NSW,Coal mining (060),0.951,"587,906 ","696,752 ", -   , -   , -   ," 108,846 ", -   ," 587,906 ", -   , -   , - ,-," 142,132 "," 554,603 ", 10 , 7 ,-
Middlemount Coal Mine,Middlemount Coal Pty Ltd,QLD,Coal mining (060),0.951,"232,430 ","267,919 ", -   , -   , -   ," 35,489 ", -   ," 232,430 ", -   , -   , - ,-," 150,855 "," 116,631 ", 431 , 2 ,-
Millicent Mill,Kimberly-Clark Australia Pty. Limited,SA,Converted paper product manufacturing (152),0.951,"100,000 ","100,534 ", -   , -   , -   , 534 , -   ," 100,000 ", -   , -   , - ,-," 100,279 ", 195 , 60 , -   ,-
Mobil Altona Refinery,MOBIL OIL AUSTRALIA PTY LTD,VIC,Petroleum and coal product manufacturing (170),0.951,"100,000 ",344 , -   , -   , -   , -   , -   , 344 ,"-99,656 ", -   ," 111,270 ","-188,730 ", 335 , -   , 2 , 7 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Montara Operations,JADESTONE ENERGY (EAGLE) PTY LTD,NT,Oil and gas extraction (070),0.951,"132,001 ","163,472 ", -   , -   , -   ," 31,471 ", -   ," 132,001 ", -   , -   , - ,-," 139,791 "," 23,013 ", 666 , 2 ,-
Moolarben Coal Mine (Open Cut & Underground),MOOLARBEN COAL OPERATIONS PTY LTD,NSW,Coal mining (060),0.951,"238,272 ","233,663 ", -   , -   , -   , -   , -   ," 233,663 ","-4,609 "," 4,609 ", - ,-," 212,128 "," 21,008 ", 523 , 4 ,-
Moomba Plant,Santos Limited,SA,Oil and gas extraction (070),0.951,"2,048,421 ","2,196,816 ", -   ," 2,579 ", -   ," 150,974 ", -   ," 2,048,421 ", -   , -   , - ,-," 1,988,493 "," 207,946 ", 373 , 4 ,-
Moorvale Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.951,"221,575 ","194,654 ", -   , -   , -   , -   , -   ," 194,654 ","-26,921 "," 26,921 ", - ,-," 80,725 "," 113,697 ", 231 , 1 ,-
Moranbah,Incitec Pivot Limited,QLD,Other basic chemical product manufacturing (189),0.951,"523,641 ","460,112 ", -   , -   , -   , -   , -   ," 460,112 ","-63,529 "," 63,529 ", - ,-," 349,030 ", 326 ," 110,754 ", 2 ,-
Moranbah North Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.951,"1,300,300 ","1,483,999 ", -   , -   , -   , -   ," 183,699 "," 1,300,300 ", -   , -   , - ,-," 256,891 "," 1,225,762 "," 1,322 ", 24 ,-
Mount Isa Mines Copper and Zinc Operations,MOUNT ISA MINES LIMITED,QLD,Metal ore mining (080),0.951,"328,070 ","409,936 ", -   , -   , -   ," 81,866 ", -   ," 328,070 ", -   , -   , - ,-," 408,766 ", 344 , 707 , 119 ,-
Mount Pleasant Operations,MACH Energy Australia Pty Ltd,NSW,Coal mining (060),0.951,"199,238 ","196,934 ", -   , -   , -   , -   , -   ," 196,934 ","-2,304 "," 2,304 ", - ,-," 133,486 "," 63,096 ", 352 , -   ,-
Mt Keith Power Station,TEC DESERT PTY LTD,WA,Electricity generation (261),0.951,"160,670 ","160,073 ", -   , -   , -   , -   , -   ," 160,073 ",-597 , -   ," 511,101 ","-10,587 "," 159,530 ", 313 , 108 , 122 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Mt Marion Lithium Project,MT MARION LITHIUM PTY LTD,WA,Metal ore mining (080),0.951,"100,000 ","114,220 ", -   , -   , -   ," 14,220 ", -   ," 100,000 ", -   , -   , - ,-," 113,732 ", 165 , 310 , 13 ,-
Mt Owen Glendell Complex,MT OWEN PTY LIMITED,NSW,Coal mining (060),0.951,"206,337 ","265,669 ", -   , -   , -   ," 59,332 ", -   ," 206,337 ", -   , -   , - ,-," 187,837 "," 77,297 ", 531 , 4 ,-
Multinet Principal Distribution Network and South Gippsland Pipeline,MULTINET GAS (DB NO. 2) PTY LTD,VIC,Gas supply (270),0.951,"165,214 ","169,759 ", -   , -   , -   , -   ," 4,545 "," 165,214 ", -   , -   , - ,-," 4,405 "," 165,353 ", 1 , -   ,-
Murrin Murrin Operations,MURRIN MURRIN OPERATIONS PTY LTD,WA,Metal ore mining (080),0.951,"478,181 ","523,774 ", -   , -   , -   , -   ," 45,593 "," 478,181 ", -   , -   , - ,-," 522,748 ", 632 , 394 , -   ,-
Myuna Colliery,CENTENNIAL MYUNA PTY LIMITED,NSW,Coal mining (060),0.951,"346,793 ","191,750 ", -   , -   , -   , -   , -   ," 191,750 ","-155,043 "," 155,043 ", - ,-," 8,264 "," 183,478 ", 4 , 4 ,-
Narrabri Underground Mine,Narrabri Coal Operations Pty Ltd,NSW,Coal mining (060),0.951,"383,633 ","555,048 ", -   , -   , -   ," 171,415 ", -   ," 383,633 ", -   , -   , - ,-," 199,690 "," 355,312 ", 30 , 16 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Newman Operations,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"304,376 ","316,238 ", -   , -   , -   ," 11,862 ", -   ," 304,376 ", -   , -   , - ,-," 314,656 ", 450 , 968 , 164 ,-
Newman Power Station,APA TRANSMISSION (ROY HILL) PTY LTD,WA,Electricity generation (261),0.951,"544,310 ","376,230 ", -   ," 53,575 ", -   , -   , -   ," 429,805 ","-114,505 "," 114,505 ", - ,-," 375,263 ", 744 , 223 , -   ,-
Newmont Boddington Gold Operation,Newmont Boddington Pty Ltd,WA,Metal ore mining (080),0.951,"183,027 ","238,348 ", -   , -   , -   ," 55,321 ", -   ," 183,027 ", -   , -   , - ,-," 237,186 ", 337 , 688 , 137 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Newmont Tanami Operation,Newmont Tanami Pty Ltd,NT,Metal ore mining (080),0.951,"190,869 ","200,358 ", -   , -   , -   ," 9,489 ", -   ," 190,869 ", -   , -   , - ,-," 199,704 ", 358 , 259 , 37 ,-
Ningaloo Vision FPSO,Santos Limited,WA,Oil and gas extraction (070),0.951,"277,840 ","226,731 ", -   , -   , -   , -   , -   ," 226,731 ","-51,109 "," 51,109 ", - ,-," 214,200 "," 12,131 ", 400 , -   ,-
NKS01 Nickel West Kalgoorlie Facility,BHP NICKEL WEST PTY LTD,WA,Basic non-ferrous metal manufacturing (213),0.951,"123,249 ","105,583 ", -   , -   , -   , -   , -   ," 105,583 ","-17,666 "," 17,666 ", - ,-," 105,512 ", 51 , 20 , -   ,-
NKW01 Nickel West Kwinana Facility,BHP NICKEL WEST PTY LTD,WA,Basic non-ferrous metal manufacturing (213),0.951,"122,189 ","169,074 ", -   , -   , -   ," 62,720 "," 17,666 "," 88,688 ","-33,501 ", -   ," 417,031 ", -   ," 168,635 ", 324 , 115 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
NMK01 Nickel West Mt Keith Facility,BHP NICKEL WEST PTY LTD,WA,Metal ore mining (080),0.951,"100,000 ","200,895 ", -   , -   , -   ," 100,895 ", -   ," 100,000 ", -   , -   , - ,-," 200,012 ", 286 , 589 , 8 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Norske Skog Boyer Mill,Norske Skog Paper Mills (Australia) Limited,TAS,"Pulp, paper and paperboard manufacturing (151)",0.99,"166,962 ","171,146 ", -   ," 20,320 "," 20,320 "," 4,184 ", -   ," 166,962 ", -   , -   , - ,-," 170,690 ", 80 , 376 , -   ,-
North West Shelf Project,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.951,"5,489,531 ","6,097,509 ", -   , -   , -   ," 607,982 ", -   ," 5,489,527 ",-4 , -   , - ,-," 5,962,350 "," 130,429 "," 4,730 ", -   ,-
Norwich Park Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"100,000 ","16,978 ", -   , -   , -   , -   , -   ," 16,978 ","-83,022 ", -   , - ,-," 15,372 "," 1,551 ", 45 , 10 ,The facility is an eligible facility under 58B.
Nowra Plant,Shoalhaven Starches Pty Ltd,NSW,Grain mill and cereal product manufacturing (116),0.951,"448,436 ","395,916 ", -   , -   , -   , -   , -   ," 395,916 ","-52,520 "," 52,520 ", - ,-," 392,702 "," 2,688 ", 526 , -   ,-
Nyrstar Port Pirie Facility,Nyrstar Port Pirie Pty Ltd,SA,Basic non-ferrous metal manufacturing (213),0.99,"441,897 ","441,897 "," 10,092 ", -   , -   , -   , -   ," 441,897 ", -   , -   , - ,-," 440,844 ", 238 , 807 , 8 ,-
Oaky Creek Coal Complex,OAKY CREEK HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.951,"759,605 ","845,959 ", -   , -   , -   ," 86,354 ", -   ," 759,605 ", -   , -   , - ,-," 213,076 "," 632,118 ", 756 , 9 ,-
ODS01 Olympic Dam - UOD Facility,BHP OLYMPIC DAM CORPORATION PTY LTD,SA,Metal ore mining (080),0.951,"246,875 ","244,321 ", -   , -   , -   , -   , -   ," 244,321 ","-2,554 ", -   , - ,-," 243,270 ", 336 , 598 , 117 ,-
Olive Downs Complex,PEMBROKE RESOURCES NOMINEE PTY LTD,QLD,Coal mining (060),0.951,"100,000 ","155,917 ", -   , -   , -   ," 55,917 ", -   ," 100,000 ", -   , -   , - ,-," 102,189 "," 53,414 ", 314 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Opal Australian Paper Maryvale Mill,PAPER AUSTRALIA PTY LTD,VIC,"Pulp, paper and paperboard manufacturing (151)",0.99,"242,779 ","235,738 ", -   , -   , -   , -   , -   ," 235,738 ","-7,041 "," 7,041 ", - ,-," 231,188 "," 2,432 "," 2,118 ", -   ,-
Orora Glass Plant Gawler,Orora Limited,SA,Glass and glass product manufacturing (201),0.951,"185,948 ","189,646 ", -   , -   , -   ," 3,698 ", -   ," 185,948 ", -   , -   , - ,-," 189,260 ", 294 , 91 , 1 ,-
Otway,BEACH ENERGY LIMITED,VIC,Oil and gas extraction (070),0.951,"127,568 ","157,371 ", -   , -   , -   ," 22,868 "," 6,935 "," 127,568 ", -   , -   , - ,-," 149,981 "," 7,217 ", 173 , -   ,-
Pacific National National Transport Facility,PACIFIC NATIONAL PTY LTD,National,Rail freight transport (471),0.951,"711,831 ","770,634 ", -   ," 7,254 "," 7,254 "," 172,749 ", -   ," 597,885 ","-113,946 ", -   ," 2,282,759 ", -   ," 765,196 "," 1,091 "," 4,347 ", -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Paraburdoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"100,000 ","163,892 ", -   , -   , -   ," 127,799 ", -   ," 36,093 ","-63,907 ", -   , - ,-," 163,170 ", 232 , 490 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Parkhurst Magnesia Manufacturing Plant,QMAG PTY LIMITED,QLD,Other non-metallic mineral product manufacturing (209),0.99,"241,996 ","242,801 ", -   , -   , -   , 805 , -   ," 241,996 ", -   , -   , - ,-," 242,633 ", 127 , 40 , 1 ,-
Peak Downs Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"371,336 ","434,812 ", -   , -   , -   ," 63,476 ", -   ," 371,336 ", -   , -   , - ,-," 418,160 "," 15,450 "," 1,192 ", 10 ,-
Phosphate Hill,Incitec Pivot Limited,QLD,Fertiliser and pesticide manufacturing (183),0.99,"397,847 ","423,015 ", -   , -   , -   , -   ," 25,168 "," 397,847 ", -   , -   , - ,-," 422,296 ", 533 , 179 , 7 ,-
Pilbara Rail Operations,PILBARA IRON PTY LTD,WA,Rail freight transport (471),0.951,"611,803 ","656,025 ", -   , -   , -   ," 44,222 ", -   ," 611,803 ", -   , -   , - ,-," 651,370 ", 931 ," 3,724 ", -   ,-
Pilgangoora Operations,Pilbara Minerals Limited,WA,Metal ore mining (080),0.951,"168,656 ","180,291 ", -   , -   , -   ," 11,635 ", -   ," 168,656 ", -   , -   , - ,-," 179,514 ", 254 , 523 , -   ,-
Pinjarra Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.951,"1,417,325 ","1,347,202 ", -   , -   , -   , -   , -   ," 1,347,202 ","-70,123 "," 70,123 ", - ,-," 1,343,695 "," 2,666 ", 823 , 18 ,-
Pluto LNG,Woodside Burrup Pty. Ltd.,WA,Oil and gas extraction (070),0.951,"1,918,373 ","1,845,003 ", -   , -   , -   , -   , -   ," 1,845,003 ","-73,370 "," 73,370 ", - ,-," 1,799,970 "," 42,623 "," 2,410 ", -   ,-
Poitrel Mine,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.951,"215,485 ","298,489 ", -   , -   , -   ," 83,004 ", -   ," 215,485 ", -   , -   , - ,-," 201,442 "," 96,493 ", 554 , -   ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Port Bonython Plant,Santos Limited,SA,Oil and gas extraction (070),0.951,"100,000 ","82,939 ", -   , -   , -   , -   , -   ," 82,939 ","-17,061 ", -   , - ,-," 80,005 "," 2,829 ", 105 , -   ,The facility is an eligible facility under 58B.
Port Kembla Steelworks,BLUESCOPE STEEL (AIS) PTY. LTD.,NSW,Basic ferrous metal manufacturing (211),0.99,"6,178,394 ","5,946,306 ", -   , -   , -   , -   , -   ," 5,946,306 ","-232,088 "," 232,088 ", - ,-," 5,945,869 ", 181 , 188 , 68 ,-
Port Latta Pelletising Plant,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Basic ferrous product manufacturing (212),0.951,"120,185 ","112,666 ", -   , -   , -   , -   , -   ," 112,666 ","-7,519 "," 7,519 ", - ,-," 112,379 ", 199 , 88 , -   ,-
Portland Aluminium Smelter,Alcoa Portland Aluminium Proprietary Limited,VIC,Basic non-ferrous metal manufacturing (213),0.951,"549,273 ","620,768 ", -   , -   , -   ," 71,495 ", -   ," 549,273 ", -   , -   , - ,-," 508,882 ", 64 , 29 ," 111,793 ",-
Premier Coal Mine (Open Cut),Premier Coal Pty Ltd,WA,Coal mining (060),0.951,"100,000 ","110,291 ", -   , -   , -   ," 10,291 ", -   ," 100,000 ", -   , -   , - ,-," 109,820 ", 156 , 312 , 3 ,-
PRL03 Rail - IOR Facility,BHP IRON ORE PTY LTD,WA,Rail freight transport (471),0.951,"526,254 ","559,502 ", -   , -   , -   ," 33,248 ", -   ," 526,254 ", -   , -   , - ,-," 557,091 ", 797 ," 1,614 ", -   ,-
Qantas Airways Limited National Transport Facility,Qantas Airways Limited,National,Air and space transport (490),0.951,"4,472,910 ","4,528,002 ", -   , -   , -   ," 55,092 ", -   ," 4,472,910 ", -   , -   , - ,-," 4,486,008 ", 673 ," 39,950 "," 1,371 ",-
Qenos Altona Manufacturing,QENOS PTY LTD,VIC,Basic chemical manufacturing (181),0.951,"211,616 ","225,217 ", -   , -   , -   , -   ," 13,601 "," 211,616 ", -   , -   , - ,-," 224,846 ", 284 , 86 , 1 ,-
QGC Upstream,QGC PTY LIMITED,QLD,Oil and gas extraction (070),0.951,"915,545 ","868,117 ", -   , -   , -   , -   , -   ," 868,117 ","-47,428 "," 47,428 ", - ,-," 650,699 "," 216,637 ", 631 , 150 ,-
Queensland Alumina Limited Refinery,QUEENSLAND ALUMINA LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.99,"2,770,213 ","3,094,142 ", -   , -   , -   ," 323,929 ", -   ," 2,770,213 ", -   , -   , - ,-," 3,086,354 "," 2,308 "," 5,480 ", -   ,-
Queensland Curtis LNG Plant,QCLNG Operating Company Pty Ltd,QLD,Oil and gas extraction (070),0.951,"1,863,878 ","1,936,241 ", -   , -   , -   ," 72,363 ", -   ," 1,863,878 ", -   , -   , - ,-," 1,914,536 "," 20,351 "," 1,354 ", -   ,-
Queensland Nitrates Ammonium Nitrate Plant,Queensland Nitrates Pty Ltd,QLD,Basic chemical manufacturing (181),0.951,"158,556 ","156,174 ", -   , -   , -   , -   , -   ," 156,174 ","-2,382 "," 2,382 ", - ,-," 147,379 ", 209 ," 8,586 ", -   ,-
Rail,THE PILBARA INFRASTRUCTURE PTY LTD,WA,Rail freight transport (471),0.951,"241,706 ","254,871 ", -   , -   , -   ," 4,002 "," 9,163 "," 241,706 ", -   , -   , - ,-," 253,085 ", 362 ," 1,424 ", -   ,-
Railton,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,TAS,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"983,714 ","984,395 ", -   , -   , -   , -   , 681 ," 983,714 ", -   , -   , - ,-," 983,462 ", 158 , 775 , -   ,-
Ranger Mine,ENERGY RESOURCES OF AUSTRALIA LTD.,NT,Metal ore mining (080),0.951,"100,000 ","63,430 ", -   , -   , -   , -   , -   ," 63,430 ","-36,570 ", -   , - ,-," 63,158 ", 90 , 182 , -   ,The facility is an eligible facility under 58B.
Ravensthorpe Nickel Operation,FQM Australia Nickel Pty Ltd,WA,Metal ore mining (080),0.951,"147,510 ","171,706 ", -   , -   , -   ," 24,196 ", -   ," 147,510 ", -   , -   , - ,-," 171,263 ", 134 , 292 , 17 ,-
Ravenswood Mine,RAVENSWOOD GOLD PTY LTD,QLD,Metal ore mining (080),0.951,"269,728 ","137,227 ", -   , -   , -   , -   , -   ," 137,227 ","-132,501 "," 132,501 ", - ,-," 136,624 ", 195 , 397 , 11 ,-
Ravensworth Operations,RAVENSWORTH OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.951,"287,954 ","326,604 ", -   , -   , -   ," 38,650 ", -   ," 287,954 ", -   , -   , - ,-," 238,060 "," 87,869 ", 672 , 3 ,-
Refinery Qld Lytton,Ampol Limited,QLD,Petroleum and coal product manufacturing (170),0.951,"659,208 ","716,979 ", -   , -   , -   ," 57,771 ", -   ," 659,208 ", -   , -   , - ,-," 707,828 "," 7,895 "," 1,246 ", 10 ,-
Rio Tinto Weipa,RTA WEIPA PTY LTD,QLD,Metal ore mining (080),0.951,"256,438 ","270,463 ", -   , -   , -   ," 14,025 ", -   ," 256,438 ", -   , -   , - ,-," 269,229 ", 385 , 809 , 40 ,-
Rio Tinto Yarwun,RTA Yarwun Pty Ltd,QLD,Basic non-ferrous metal manufacturing (213),0.99,"1,943,147 ","2,114,101 ", -   , -   , -   ," 170,954 ", -   ," 1,943,147 ", -   , -   , - ,-," 2,108,611 "," 2,675 "," 2,794 ", 21 ,-
Rolleston Coal Mine,ROLLESTON COAL HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.951,"164,679 ","173,698 ", -   , -   , -   ," 9,019 ", -   ," 164,679 ", -   , -   , - ,-," 172,936 ", 242 , 487 , 33 ,-
Roma Hub,Santos Limited,QLD,Oil and gas extraction (070),0.951,"150,920 ","129,375 ", -   , -   , -   , -   , -   ," 129,375 ","-21,545 "," 21,545 ", - ,-," 90,388 "," 37,963 ", 238 , 786 ,-
Roy Hill Mine,Roy Hill Holdings Pty Ltd,WA,Metal ore mining (080),0.951,"470,949 ","516,539 ", -   , -   , -   ," 45,590 ", -   ," 470,949 ", -   , -   , - ,-," 514,168 ", 722 ," 1,517 ", 132 ,-
Russell Vale Colliery,WOLLONGONG RESOURCES PTY. LTD.,NSW,Coal mining (060),0.951,"110,000 ","335,908 "," 10,000 ", -   , -   ," 225,908 ", -   ," 110,000 ", -   , -   , - ,-," 15,981 "," 319,924 ", 2 , 1 ,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page. "
Saraji Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"311,441 ","353,611 ", -   , -   , -   ," 42,170 ", -   ," 311,441 ", -   , -   , - ,-," 324,806 "," 27,833 ", 932 , 40 ,-
Savage River Mine,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Metal ore mining (080),0.951,"100,000 ","119,158 ", -   , -   , -   , -   , -   ," 119,158 ","19,158 ", -   ," 119,158 ","19,158 "," 118,651 ", 169 , 338 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Sewerage West,Melbourne Water Corporation,VIC,"Water supply, sewerage and drainage services (281)",0.951,"134,661 ","143,515 ", -   , -   , -   ," 8,854 ", -   ," 134,661 ", -   , -   , - ,-, 28 ," 119,843 "," 23,635 ", 9 ,-
SIMEC Mining - Middleback Range Iron Ore Mine (Whyalla),ONESTEEL MANUFACTURING PTY LIMITED,SA,Metal ore mining (080),0.951,"100,000 ","127,129 ", -   , -   , -   , -   , -   ," 127,129 ","27,129 ", -   , - ,-," 126,570 ", 176 , 373 , 10 ,Please refer to the excess emissions situation table for more information.
Sino Iron Project - Cape Preston,CITIC Pacific Mining Management Pty Ltd,WA,Metal ore mining (080),0.951,"1,091,911 ","1,111,621 ", -   , -   , -   ," 19,710 ", -   ," 1,091,911 ", -   , -   , - ,-," 1,107,429 "," 2,029 "," 1,229 ", 934 ,-
Sojitz Gregory Crinum Mine,SOJITZ DEVELOPMENT PTY LTD,QLD,Coal mining (060),0.951,"102,951 ","65,978 ", -   , -   , -   ," 5,682 ", -   ," 60,296 ","-42,655 ", -   ," 302,951 ", -   ," 65,262 ", 521 , 195 , -   ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Solomon Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.951,"390,033 ","452,137 ", -   , -   , -   ," 42,926 "," 19,178 "," 390,033 ", -   , -   , - ,-," 449,989 ", 641 ," 1,350 ", 157 ,-
Solomon Power Station,FMG SOLOMON PTY LTD,WA,Electricity generation (261),0.951,"366,608 ","316,859 ", -   , -   , -   , -   , -   ," 316,859 ","-49,749 "," 49,749 ", - ,-," 316,015 ", 610 , 183 , 51 ,-
South Walker Creek,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.951,"382,706 ","474,299 ", -   , -   , -   ," 36,538 "," 132,501 "," 305,260 ","-40,908 ", -   ," 1,009,498 ", -   ," 216,710 "," 256,953 ", 623 , 13 ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
